datetime,station_antwerp,station_paris,station_london
2019-04-24 08:00:00,,36.1,50.0
2019-04-24 09:00:00,,33.0,54.0
2019-04-24 10:00:00,,23.8,59.0
2019-04-24 11:00:00,,24.2,53.0
2019-04-24 12:00:00,,25.2,37.0
2019-04-24 13:00:00,,22.4,33.0
2019-04-24 14:00:00,,26.4,33.0
2019-04-24 15:00:00,,31.7,30.0
2019-04-24 16:00:00,,26.6,28.0
2019-04-24 17:00:00,,26.5,28.0
2019-04-24 18:00:00,,31.3,27.0
2019-04-24 19:00:00,,29.3,27.0
2019-04-24 20:00:00,,22.5,28.0
2019-04-24 21:00:00,,30.7,28.0
2019-04-24 22:00:00,,41.0,26.0
2019-04-24 23:00:00,,40.3,26.0
2019-04-25 00:00:00,,36.0,26.0
2019-04-25 01:00:00,,27.4,24.0
2019-04-25 02:00:00,,23.1,
2019-04-25 03:00:00,13.0,18.5,19.0
2019-04-25 04:00:00,12.0,14.8,19.0
2019-04-25 05:00:00,,13.0,19.0
2019-04-25 06:00:00,,16.7,19.0
2019-04-25 07:00:00,,21.6,28.0
2019-04-25 08:00:00,,26.6,29.0
2019-04-25 09:00:00,,33.8,28.0
2019-04-25 10:00:00,,37.6,26.0
2019-04-25 11:00:00,,41.6,26.0
2019-04-25 12:00:00,,45.1,26.0
2019-04-25 13:00:00,,37.0,23.0
2019-04-25 14:00:00,,29.1,22.0
2019-04-25 15:00:00,,27.3,21.0
2019-04-25 16:00:00,,21.2,19.0
2019-04-25 17:00:00,,19.3,21.0
2019-04-25 18:00:00,,19.9,21.0
2019-04-25 19:00:00,,20.1,21.0
2019-04-25 20:00:00,,26.3,20.0
2019-04-25 21:00:00,,27.0,24.0
2019-04-25 22:00:00,,26.8,25.0
2019-04-25 23:00:00,,26.4,26.0
2019-04-26 00:00:00,,31.0,26.0
2019-04-26 01:00:00,,34.5,27.0
2019-04-26 02:00:00,,25.1,27.0
2019-04-26 03:00:00,25.5,21.6,23.0
2019-04-26 04:00:00,15.0,27.8,23.0
2019-04-26 05:00:00,,32.7,24.0
2019-04-26 06:00:00,,58.3,24.0
2019-04-26 07:00:00,,70.9,36.0
2019-04-26 08:00:00,,61.8,33.0
2019-04-26 09:00:00,,47.2,29.0
2019-04-26 10:00:00,,35.3,27.0
2019-04-26 11:00:00,,28.4,24.0
2019-04-26 12:00:00,,22.2,22.0
2019-04-26 13:00:00,,23.6,21.0
2019-04-26 14:00:00,,27.2,20.0
2019-04-26 15:00:00,,20.7,21.0
2019-04-26 16:00:00,,18.6,21.0
2019-04-26 17:00:00,,21.6,20.0
2019-04-26 18:00:00,,18.6,22.0
2019-04-26 19:00:00,,20.2,20.0
2019-04-26 20:00:00,,20.8,19.0
2019-04-26 21:00:00,,27.0,19.0
2019-04-26 22:00:00,,38.7,18.0
2019-04-26 23:00:00,,34.8,17.0
2019-04-27 00:00:00,,20.7,17.0
2019-04-27 01:00:00,,19.3,15.0
2019-04-27 02:00:00,,10.8,
2019-04-27 03:00:00,22.0,9.3,17.0
2019-04-27 04:00:00,14.0,8.6,17.0
2019-04-27 05:00:00,,10.4,15.0
2019-04-27 06:00:00,,12.2,15.0
2019-04-27 07:00:00,,17.9,14.0
2019-04-27 08:00:00,,17.5,14.0
2019-04-27 09:00:00,,19.0,15.0
2019-04-27 10:00:00,,14.5,18.0
2019-04-27 11:00:00,,11.9,20.0
2019-04-27 12:00:00,,10.9,20.0
2019-04-27 13:00:00,,12.3,19.0
2019-04-27 14:00:00,,11.0,22.0
2019-04-27 15:00:00,,13.9,
2019-04-27 16:00:00,,13.4,
2019-04-27 17:00:00,,13.7,
2019-04-27 18:00:00,,18.6,
2019-04-27 19:00:00,,16.9,
2019-04-27 20:00:00,,18.2,
2019-04-27 21:00:00,,17.1,
2019-04-27 22:00:00,,21.0,
2019-04-27 23:00:00,,16.7,
